cod_escola,cod_ue,escola,inep,endereco,cep,telefone,cod_sed,dir_email,assist_email,coord_email,sec_email,etapa,educacao_infantil,quant_turma_INF,pre_escola,quant_turma_PRE,ensino_fundamental,quant_turma_FUND,turmas_totais,aee,eee,status_aee,Ano letivo,status_eja,decreto_de_criacao,CNPJ,Decreto Altera,linkPiloto,turma1,turma2,turma3,turma4,turma5,turma6,turma7,turma8,turma9,turma10,turma11,turma12,turma13,turma14,turma15,turma16,turma17,turma18,turma19,turma20,turma21,turma22,turma23,turma24,turma25,turma26,turma27,turma28,turma29,turma30,turma31,turma32,turma33,turma34,turma35,turma36,turma37,turma38,turma39,turma40
11,2511,EM PROF DELPHINO STOCKLER DE LIMA,35056285,"Rua Manoel Da Nobrega, S/N, Centro",11250288,13 33173005,056285,dir.delphino@seducbertioga.com.br,assist.delphino@seducbertioga.com.br,coord.delphino@seducbertioga.com.br,sec.delphino@seducbertioga.com.br,Anos Iniciais,NDA,0,NDA,0,ENSINO FUNDAMENTAL I,16,18,2,0,,03/02/2025 à 19/12/2025,NÃO,,,,https://docs.google.com/spreadsheets/d/1we-su4QZqJ4xJkige28xAAWfjOsu6LHke6pYQ4yLAf4/edit?usp=drivesdk,1A,1B,1C,2A,2B,2C,2D,3A,3B,3C,4A,4B,4C,5A,5B,5C,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,,,
12,2512,EM PROF JOSÉ INÁCIO HORA,35224133,"Rua Rodrigues Alves, 759",11250432,13 33173977,224133,dir.inaciohora@seducbertioga.com.br,assist.inaciohora@seducbertioga.com.br,coord.inaciohora@seducbertioga.com.br,sec.inaciohora@seducbertioga.com.br,Anos Iniciais,NDA,0,NDA,0,ENSINO FUNDAMENTAL I,18,20,2,0,,03/02/2025 à 19/12/2025,NÃO,Decreto Municipal 330/98 de 30/01/1998,CNPJ: 03.116.923/0001-00,Decreto Municipal 2.648/16 de 03/12/2016,https://docs.google.com/spreadsheets/d/1HQ-oZp-R6y9abEHwp1GvhDFPeOgaJZtTDwr7h8yBd-Y/edit?usp=drivesdk,1A,1B,1C,2A,2B,2C,3A,3B,3C,4A,4B,4C,4D,4E,5A,5B,5C,5D,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,
13,2513,EM PROFª CRISTINA DOS SANTOS,35023224,"Rua Pastor Djalma Da Silva Coimbra, S/N",11256230,13 33177348,023224,dir.cristinadossantos@seducbertioga.com.br,assist.cristinadossantos@seducbertioga.com.br,coord.cristinadossantos@seducbertioga.com.br,sec.cristinadossantos@seducbertioga.com.br,Ed. Infantil + Anos Iniciais,NDA,0,PRÉ ESCOLA,4,ENSINO FUNDAMENTAL I,10,16,2,0,,03/02/2025 à 19/12/2025,NÃO,Decreto de criação: Decreto nº 329/1998,"CNPJ: 08.918.277/0001-00
",,https://docs.google.com/spreadsheets/d/1bTyrhi198Jc8eoISmt657mqBImx622Xa5IVcnmJChJ4/edit?usp=drivesdk,P1A,P1B,P2A,P2B,1A,1B,2A,2B,3A,3B,4A,4B,5A,5B,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,,,,,
14,2514,EM PROFª MARIA LÚCIA SOARES MONTEIRO,35268773,"Rua Aprovada 612, 301",11259135,13 33117016,268773,dir.emmarialucia@seducbertioga.com.br,assit.emmarialucia@seducbertioga.com.br,coord.emmarialucia@seducbertioga.com.br,sec.emmarialucia@seducbertioga.com.br,Ed. Infantil,EDUCAÇÃO INFANTIL,2,PRÉ ESCOLA,8,NDA,0,12,2,0,,03/02/2025 à 19/12/2025,NÃO,Decreto nº 1301 de 30/06/2005,,Decreto nº 2638/1   DEZ/2016,https://docs.google.com/spreadsheets/d/1SSOECDjmK6CU1rRyDqkuGWIcz-z8w76PbIraoH-dXc8/edit?usp=drivesdk,M2A,M2B,P2A,P2B,P2C,P2D,P2E,P2F,P2G,P2H,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2515,EM PROFª MIRIAM DE ASSIS,35653858,"Av. De São Lourenço, 2150 - Riviera De São Lourenço",11261594,13 33167222,653858,dir.emmiriamdeassis@seducbertioga.com.br,assist.emmiriamdeassis@seducbertioga.com.br,coord.emmiriamdeassis@seducbertioga.com.br,sec.emmiriamdeassis@seducbertioga.com.br,Ed. Infantil + Anos Iniciais,EDUCAÇÃO INFANTIL,3,PRÉ ESCOLA,3,ENSINO FUNDAMENTAL I,2,8,,0,,03/02/2025 à 19/12/2025,NÃO,Decreto nº 234 de 23/08/1996,,Decreto nº 2625 de 09/11/2016,https://docs.google.com/spreadsheets/d/1ZND7IvBAgZjM42WuGm3mVXVghdGq85HMvVo30FMOKp0/edit?usp=drivesdk,B2A,M1A,M2A,P1A,P2A,P2B,1A,1B,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2516,EMEI JARDIM ALBATROZ,35120959,"Rua Jair Miranda De Souza, S/N - Albatroz",11250689,13 33175610,120959,dir.emeialbatroz@seducbertioga.com.br,assist.emeialbatroaz@seducbertioga.com.br,coord.emeijdalbatroz@seducbertioga.com.br,sec.emeialbatroz@seducbertioga.com.br,Ed. Infantil,NDA,0,PRÉ ESCOLA,8,NDA,0,8,,0,,03/02/2025 à 19/12/2025,NÃO,Decreto nº 895 de 30/04/2004,,,https://docs.google.com/spreadsheets/d/1xRAiwkg_3F6IKoQuyeti6VMdRHbgOxS9LMKdM7N--lA/edit?usp=drivesdk,P1A,P1B,P1C,P1D,P2A,P2B,P2C,P2D,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2517,EMEIF BORACÉIA,35207056,"Rua Prof. Geraldo Rodrigues Montemor, 295",11271165,13 33121530,207056,dir.boraceia@seducbertioga.com.br,assist.boraceia@seducbertioga.com.br,coord.boraceia@seducbertioga.com.br,sec.boraceia@seducbertioga.com.br,Ed. Infantil + Anos Iniciais,NDA,0,PRÉ ESCOLA,4,ENSINO FUNDAMENTAL I,22,30,2,0,,03/02/2025 à 19/12/2025,2,,,,https://docs.google.com/spreadsheets/d/1SX0lAf8FfQ5TXm4NRhbbIlCMJY7UWolTXTQ2D8VhBCQ/edit?usp=drivesdk,P2A,P2B,P2C,P2D,1A,1B,1C,1D,1E,2A,2B,2C,2D,2E,3A,3B,3C,3D,4A,4B,4C,4D,5A,5B,5C,5D,AEEA,AEEB,EJA1A,EJA2A,,,,,,,,,,
18,2518,EMEIF CAIUBURA,35427378,"Rua Um, Nº 520 E 523",11254200,13 33194200,427378,dir.caiubura@seducbertioga.com.br,assist.caiubura@seducbertioga.com.br,coord.caiubura@seducbertioga.com.br,sec.caiubura@seducbertioga.com.br,Ed. Infantil + Anos Iniciais,NDA,0,PRÉ ESCOLA,2,ENSINO FUNDAMENTAL I,4,8,2,0,,03/02/2025 à 19/12/2025,NÃO,Decreto nº 1358 de 20/02/2009,CNPJ 12.319.330/0001-23,,https://docs.google.com/spreadsheets/d/1HeZE0o3zIBoVdnTr2pBLAL1npu7P5oHZLcmRGkd5yi4/edit?usp=drivesdk,P1A,P2A,1A,2A,3A,4A,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2519,EMIG NHEMBO E A PORÃ,35272322,"Av. Tupi Guarani,1500, Boraceia",11626315,12 38676662,272322,dir.nhembo@seducbertioga.com.br,assist.nhembo@seducbertioga.com.br,coord.nhembo@seducbertioga.com.br,sec.nhembo@seducbertioga.com.br,Ed. Infantil + Anos Iniciais,NDA,0,PRÉ ESCOLA,2,ENSINO FUNDAMENTAL I,5,7,,0,,03/02/2025 à 19/12/2025,NÃO,,,,https://docs.google.com/spreadsheets/d/1PzsP5puzBQN38rgQlfAsyJOeAjO8LpIS9iIeuWekfG0/edit?usp=drivesdk,P1A,P2A,1A,2A,3A,4A,5A,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2520,NEIM Boracéia,35268768,"Av. Afio Pecoraro Júnior,S/N, Boracéia-Bertioga-Sp",11271245,13 33122265,268768,dir.neimboraceia1@seducbertioga.com.br,assist.neimboraceia1@seducbertioga.com.br,coord.neimboraceia1@seducbertioga.com.br,sec.neimboraceia1@seducbertioga.com.br,Ed. Infantil,EDUCAÇÃO INFANTIL,4,PRÉ ESCOLA,4,NDA,0,10,2,0,,03/02/2025 à 19/12/2025,NÃO,Decreto Municipal nº 1030 de 29/06/2005,,,https://docs.google.com/spreadsheets/d/15_7eGgMNCgQEtFN1fkhSl-m87VrEU71tdZXAw8fVI3U/edit?usp=drivesdk,M2A,M2B,M2C,M2D,P1A,P1B,P1C,P1D,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2521,NEIM Elizabeth Regina Aparecida Garcia,35235180,"Rua  Manoel Gajo, 2650 - Parque Estoril",11250597,13 33171213,235180,dir.neimelizabeth@seducbertioga.com.br,assist.neimelizabeth@seducbertioga.com.br,coord.neimelizabethregina@seducbertioga.com.br,sec.neimelizabeth@seducbertioga.com.br,Ed. Infantil,EDUCAÇÃO INFANTIL,10,NDA,0,NDA,0,12,2,0,,03/02/2025 à 19/12/2025,NÃO,,,,https://docs.google.com/spreadsheets/d/1CTH9em-QMTNG0QTqixTqSDcX_kfv9POMr_CHL-FfyUQ/edit?usp=drivesdk,B2A,B2B,B2C,M1A,M1B,M1C,M2A,M2B,M2C,M2D,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2522,NEIM Chácara Vista Linda,35196236,"Rua  Lincoln Bolivar Neves, 930, Chácara Vista Linda",11259090,13 33116061,196236,dir.neimchacara@seducbertioga.com.br,assist.neimchacara@seducbertioga.com.br,coord.neimchacara@seducbertioga.com.br,sec.neimchacara@seducbertioga.com.br,Ed. Infantil,EDUCAÇÃO INFANTIL,13,NDA,0,NDA,0,15,2,0,,03/02/2025 à 19/12/2025,NÃO,Decreto n° 971 de 29/11/2004,Não tem.,,https://docs.google.com/spreadsheets/d/1R3-T9SwRJZg7qtOJyTN23W5ntM5StsC4uQ7pgsh99BU/edit?usp=drivesdk,B1A,B2A,B2B,B2C,B2D,M1A,M1B,M1C,M1D,M2A,M2B,M2C,M2D,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,,,,,,
23,2523,NEIM Emancipadora Profª Irene Vaz Pinto Lyra,35196241,Rua Pedro Uzzo 875 - Jardim Raphael,11258015,13 33116041,196241,dir.neimirenevaz@seducbertioga.com.br,assist.neimirenevaz@seducbertioga.com.br,coord.neimirenevaz@seducbertioga.com.br,sec.neimirenevaz@seducbertioga.com.br,Ed. Infantil,EDUCAÇÃO INFANTIL,4,NDA,0,NDA,0,6,2,0,,03/02/2025 à 19/12/2025,NÃO,Decreto n° 972 de 29 de novembro de 2004,,,https://docs.google.com/spreadsheets/d/1wq4jYlbGOgSu5mEv0EZ7yCWycGrLv-FL_7EW2H_nMyc/edit?usp=drivesdk,B2A,M1A,M2A,M2B,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2524,NEIM Guaratuba,35456020,Rua Aprovada 624 Quadra A - Nº 15 Costa Do Sol,11267474,13 33127554,456020,dir.neimguaratuba@seducbertioga.com.br,assist.neimguaratuba@seducbertioga.com.br,coord.neimguaratuba@seducbertioga.com.br,sec.neimguaratuba@seducbertioga.com.br,Ed. Infantil,EDUCAÇÃO INFANTIL,4,NDA,0,NDA,0,6,2,0,,03/02/2025 à 19/12/2025,NÃO,,,,https://docs.google.com/spreadsheets/d/1srR0U2PEL0ydoRbdz3QXH17cojC68XabFonShGWMp3g/edit?usp=drivesdk,B2A,M1A,M2A,M2B,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2525,NEIM Mangue Seco,35456032,"Rua Pastor Ronaldo Rodrigues Da Silva, 133 - Rio Da Praia",11256190,13 33172997,456032,dir.neimmangueseco@seducbertioga.com.br,assist.neimmangueseco@seducbertioga.com.br,coord.neimmangueseco@seducbertioga.com.br,sec.neimmangueseco@seducbertioga.com.br,Ed. Infantil,EDUCAÇÃO INFANTIL,5,NDA,0,NDA,0,5,,0,,03/02/2025 à 19/12/2025,NÃO,,,,https://docs.google.com/spreadsheets/d/1PKDbFoX-wbW7yZGTjIAizDd5YPaGcMEQ_JzMGzrS8oI/edit?usp=drivesdk,B2A,M1A,M1B,M2A,M2B,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2526,NEIM Oswaldo Justo,35565465,"Rua Engº E Arq. Eduardo Correia Da Costa Junior, 1.400",11258359,13 33127724,565465,dir.neimoswaldojusto@seducbertioga.com.br,assist.neimoswaldojusto@seducbertioga.com.br,coord.neimoswaldojusto@seducbertioga.com.br,sec.neimoswaldojusto@seducbertioga.com.br,Ed. Infantil,EDUCAÇÃO INFANTIL,12,NDA,0,NDA,0,14,2,0,,03/02/2025 à 19/12/2025,NÃO,Decreto Municipal 2648/16  de 16 de dezembro de 2016,CNPJ: 29.143.432/0001-33,,https://docs.google.com/spreadsheets/d/1J9rsh-Zqus7IZj4S-UIe4yCaiJtboWVhpNIxjsVdCjQ/edit?usp=drivesdk,B2A,B2B,B2C,M1A,M1B,M1C,M2A,M2B,M2C,M2D,M2E,M2F,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2527,NEIM Prof Amilton José do Amparo,35004474,"Rua Luiz Pereira De Campos, 697  - Centro",11250117,13 33171341,004474,dir.amilton@seducbertioga.com.br,assist.neimamilton@seducbertioga.com.br,coord.neimamilton@seducbertioga.com.br,sec.amilton@seducbertioga.com.br,Ed. Infantil,EDUCAÇÃO INFANTIL,12,PRÉ ESCOLA,4,NDA,0,18,2,0,,03/02/2025 à 19/12/2025,NÃO,"Portaria de autorização Nº 184 de 03/02/2017  e decreto municipal de fundação nº 2705, de 17 de maio de 2017.                                                               CNPJ: 31.900 793/0001-29",CNPJ: 31.900 793/0001-29,,https://docs.google.com/spreadsheets/d/1iCyC1jYigzn2K2B5oEf1CQgPsBdpFaRdtwRsPjqOQyg/edit?usp=drivesdk,B1A,B1B,B2A,B2B,B2C,M1A,M1B,M1C,M2A,M2B,M2C,M2D,P1A,P2A,P2B,P2C,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,,,
28,2528,NEIM PROFª Zilmar Moura dos Santos,35281273,"Rua Cardeal Emyle Biayenda, 248 - Jd. Rio Da Praia",11256070,13 33173093,281273,dir.neimzilmar@seducbertioga.com.br,assist.neimzilmar@seducbertioga.com.br,coord.neimzilmarmoura@seducbertioga.com.br,sec.neimzilmar@seducbertioga.com.br,Ed. Infantil,EDUCAÇÃO INFANTIL,8,PRÉ ESCOLA,8,NDA,0,19,3,0,,03/02/2025 à 19/12/2025,NÃO,,,,https://docs.google.com/spreadsheets/d/1emt9eKJylfP00YVRTGG4YRs6_QItieHM4heDDZaF7qg/edit?usp=drivesdk,B1A,B2A,B2B,M1A,M1B,M2A,M2B,M2C,P1A,P1B,P1C,P1D,P2A,P2B,P2C,P2D,AEEA,AEEB,AEEC,,,,,,,,,,,,,,,,,,,,,
29,2529,NEIM Teodoro Quirino,35268756,"Rua Victório Guidolim, S/N° - Jd Indaiá",11260594,13 33133166,268756,dir.neimteodoroquirino@seducbertioga.com.br,assist.neimteodoroquirino@seducbertioga.com.br,coord.neimteodoroquirino@seducbertioga.com.br,sec.neimteodoroquirino@seducbertioga.com.br,Ed. Infantil,EDUCAÇÃO INFANTIL,7,PRÉ ESCOLA,4,NDA,0,13,2,0,,03/02/2025 à 19/12/2025,NÃO,,,,https://docs.google.com/spreadsheets/d/1kjzOHEynutSwvqqQ8eLqTOvLjPNF6JLcSJS0MzdmjsI/edit?usp=drivesdk,B2A,M1A,M1B,M2A,M2B,M2C,M2D,P1A,P1B,P1C,P2A,AEEA,AEEB,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2530,TESTE,99999999,Rua TESTE,11256000,13 99999999,999999,gerson.santiago@seducbertioga.com.br,aderson.barros@seducbertioga.com.br,lucas.teodoro@seducbertioga.com.br,t1@seducbertioga.com.br,Nenhum,,0,,0,,0,10,0,0,,03/02/2025 à 19/12/2025,,,,,https://docs.google.com/spreadsheets/d/1MBQl_TlUjnhRJaYULwCAfmOuYDlzKxqhUdwHHDIMGJ4/edit?gid=0#gid=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2531,NEIM Boracéia II,35008817,"Rua Professor Geraldo Rodrigues Montemor, 647",11271165,13 35001232,008817,dir.neimboraceia2@seducbertioga.com.br,assist.neimboraceia2@seducbertioga.com.br,coord.neimboraceia2@seducbertioga.com.br,sec.neimboraceia2@seducbertioga.com.br,Ed. Infantil,EDUCAÇÃO INFANTIL,7,NDA,0,NDA,0,8,1,0,AEE,03/02/2025 à 19/12/2025,NÃO,Decreto 3812 de 25 de novembro de 2021,CNPJ.57.320.479/ 0001-60,,https://docs.google.com/spreadsheets/d/1MqgrGDPzbqvAGy4YG5Adu1LBTnYss34xvNU644WQhd8/edit?usp=drivesdk,MIA,B2A,B2B,B2C,M1A,M1B,M1C,AEEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
